"i","n","fsc","chl","pe","file"
"beads","1234","50676","29292","48562","Francois.20140319.A.0001.fcs"
"crypto","12","56950","47320","42349","Francois.20140319.A.0001.fcs"
"beads","496","44624","27813","50220","Francois.20140319.A.0002.fcs"
"crypto","66","56402","50180","46341","Francois.20140319.A.0002.fcs"
"beads","1176","50554","29266","48513","Francois.20140319.A.0003.fcs"
"crypto","18","57820","49790","49840","Francois.20140319.A.0003.fcs"
"beads","690","44300","27805","50267","Francois.20140319.A.0004.fcs"
"crypto","15","60292","58440","47248","Francois.20140319.A.0004.fcs"
"beads","1217","44403","27832","50277","Francois.20140319.A.0005.fcs"
"crypto","8","61570","61155","50091","Francois.20140319.A.0005.fcs"
"beads","1489","49865","29694","48998","Francois.20140319.A.0006.fcs"
"crypto","25","59495","54441","44282","Francois.20140319.A.0006.fcs"
"beads","1317","49869","29597","48906","Francois.20140319.A.0007.fcs"
"crypto","6","59038","59328","43522","Francois.20140319.A.0007.fcs"
"beads","1368","49846","29628","48904","Francois.20140319.A.0008.fcs"
"crypto","13","58674","51366","45298","Francois.20140319.A.0008.fcs"
"beads","1322","49982","29588","48874","Francois.20140319.A.0009.fcs"
"crypto","15","57748","51066","51534","Francois.20140319.A.0009.fcs"
"beads","1374","50020","29666","48957","Francois.20140319.A.0010.fcs"
"crypto","8","59429","47969","46404","Francois.20140319.A.0010.fcs"
"beads","561","44072","27564","50258","Francois.20140319.A.0011.fcs"
"crypto","7","40956","43636","45715","Francois.20140319.A.0011.fcs"
"beads","283","50103","29846","49090","Francois.20140321.A.0001.fcs"
"crypto","5","54195","47169","44658","Francois.20140321.A.0001.fcs"
"beads","1904","50086","29694","48977","Francois.20140321.A.0002.fcs"
"crypto","11","56439","50933","52270","Francois.20140321.A.0002.fcs"
"beads","1173","49870","29639","48934","Francois.20140321.A.0003.fcs"
"crypto","12","58364","54628","48374","Francois.20140321.A.0003.fcs"
"beads","1282","49942","29703","48962","Francois.20140321.A.0004.fcs"
"crypto","16","59068","48743","45440","Francois.20140321.A.0004.fcs"
"beads","1278","49937","29660","48953","Francois.20140321.A.0005.fcs"
"crypto","32","58820","48790","43818","Francois.20140321.A.0005.fcs"
"beads","1420","49892","29651","48947","Francois.20140321.A.0006.fcs"
"crypto","34","58329","48752","44584","Francois.20140321.A.0006.fcs"
"beads","1389","49976","29626","48938","Francois.20140321.A.0007.fcs"
"crypto","13","57303","49302","50230","Francois.20140321.A.0007.fcs"
"beads","124","49753","29028","48250","Ribalet.20140327.A.0001.fcs"
"crypto","9","57129","56562","51656","Ribalet.20140327.A.0001.fcs"
"beads","269","49700","29065","48240","Ribalet.20140327.A.0002.fcs"
"crypto","5","58384","49047","46076","Ribalet.20140327.A.0002.fcs"
"beads","143","49162","28658","47910","Ribalet.20140327.A.0003.fcs"
"crypto","9","59478","59120","47330","Ribalet.20140327.A.0003.fcs"
"beads","38","48557","28308","47580","Ribalet.20140327.A.0004.fcs"
"crypto","6","58374","47788","39236","Ribalet.20140327.A.0004.fcs"
"beads","129","48828","28406","47733","Ribalet.20140327.A.0005.fcs"
"crypto","2","53738","55600","58079","Ribalet.20140327.A.0005.fcs"
"beads","325","50047","28945","47778","Ribalet.20140328.A.0001.fcs"
"crypto","13","58112","54418","43328","Ribalet.20140328.A.0001.fcs"
"beads","366","50058","28836","47708","Ribalet.20140328.A.0002.fcs"
"crypto","10","58839","61250","50374","Ribalet.20140328.A.0002.fcs"
"beads","350","50007","28852","47668","Ribalet.20140328.A.0003.fcs"
"crypto","8","54000","51914","54062","Ribalet.20140328.A.0003.fcs"
"beads","574","49999","28815","47691","Ribalet.20140328.A.0004.fcs"
"crypto","3","57650","51291","54085","Ribalet.20140328.A.0004.fcs"
"beads","455","50071","28960","47789","Ribalet.20140328.A.0005.fcs"
"crypto","7","54312","53047","54570","Ribalet.20140328.A.0005.fcs"
"beads","817","50006","28780","47686","Ribalet.20140403.A.0001.fcs"
"crypto","14","53700","50322","49187","Ribalet.20140403.A.0001.fcs"
"beads","487","49595","28587","47570","Ribalet.20140403.A.0002.fcs"
"crypto","17","55006","49000","47617","Ribalet.20140403.A.0002.fcs"
"beads","822","49435","28444","47409","Ribalet.20140403.A.0003.fcs"
"crypto","4","53466","54454","46741","Ribalet.20140403.A.0003.fcs"
"beads","1153","50372","29165","48209","Ribalet.20140403.A.0004.fcs"
"crypto","12","57549","54282","46320","Ribalet.20140403.A.0004.fcs"
"beads","707","50389","29580","48634","Ribalet.20140403.A.0005.fcs"
"crypto","9","59359","58153","48946","Ribalet.20140403.A.0005.fcs"
"beads","671","50368","29707","48769","Ribalet.20140403.A.0006.fcs"
"crypto","10","59460","49970","41882","Ribalet.20140403.A.0006.fcs"
"beads","672","50446","29732","48802","Ribalet.20140403.A.0007.fcs"
"crypto","16","57702","57289","53922","Ribalet.20140403.A.0007.fcs"
"beads","458","50417","29725","48792","Ribalet.20140403.A.0008.fcs"
"crypto","8","58630","47203","43502","Ribalet.20140403.A.0008.fcs"
"beads","689","50485","29646","48778","Ribalet.20140403.A.0009.fcs"
"crypto","15","56423","49685","47400","Ribalet.20140403.A.0009.fcs"
"beads","1194","50377","29564","48672","Ribalet.20140403.A.0010.fcs"
"crypto","19","55887","50042","46746","Ribalet.20140403.A.0010.fcs"
"beads","565","50337","29633","48724","Ribalet.20140403.A.0011.fcs"
"crypto","7","57699","53732","45142","Ribalet.20140403.A.0011.fcs"
"beads","463","50221","29589","48683","Ribalet.20140403.A.0012.fcs"
"crypto","6","58502","54840","48328","Ribalet.20140403.A.0012.fcs"
"beads","613","49953","29351","48509","Ribalet.20140403.A.0013.fcs"
"crypto","10","59240","60017","47442","Ribalet.20140403.A.0013.fcs"
"beads","399","50680","29544","48558","Ribalet.20140404.A.0001.fcs"
"crypto","110","55377","50630","49177","Ribalet.20140404.A.0001.fcs"
"beads","576","50550","29496","48490","Ribalet.20140404.A.0002.fcs"
"crypto","15","57536","50719","47269","Ribalet.20140404.A.0002.fcs"
"beads","851","50588","29355","48377","Ribalet.20140404.A.0003.fcs"
"crypto","12","59287","56094","49830","Ribalet.20140404.A.0003.fcs"
"beads","856","50546","29372","48368","Ribalet.20140404.A.0004.fcs"
"crypto","17","57724","61293","46194","Ribalet.20140404.A.0004.fcs"
"beads","367","50600","29549","48503","Ribalet.20140404.A.0005.fcs"
"crypto","0","0","0","48503","Ribalet.20140404.A.0005.fcs"
"beads","372","50601","29497","48461","Ribalet.20140404.A.0006.fcs"
"crypto","12","57912","47947","49434","Ribalet.20140404.A.0006.fcs"
"beads","575","50562","29418","48417","Ribalet.20140404.A.0007.fcs"
"crypto","8","53978","51924","49960","Ribalet.20140404.A.0007.fcs"
"beads","680","50476","29364","48353","Ribalet.20140404.A.0008.fcs"
"crypto","11","57312","57581","56873","Ribalet.20140404.A.0008.fcs"
"beads","477","50492","29406","48385","Ribalet.20140404.A.0009.fcs"
"crypto","10","58439","49524","51050","Ribalet.20140404.A.0009.fcs"
"beads","492","50512","29383","48367","Ribalet.20140404.A.0010.fcs"
"crypto","6","56454","50430","48409","Ribalet.20140404.A.0010.fcs"
"beads","1899","50359","30474","49459","Ribalet.20140826.A.0001.fcs"
"crypto","15","55506","52068","51506","Ribalet.20140826.A.0001.fcs"
"beads","565","50450","30471","49446","Ribalet.20140826.A.0002.fcs"
"crypto","8","57239","57424","55754","Ribalet.20140826.A.0002.fcs"
"beads","597","50377","30419","49445","Ribalet.20140826.A.0003.fcs"
"crypto","11","57251","54351","51106","Ribalet.20140826.A.0003.fcs"
"beads","513","50323","30419","49440","Ribalet.20140826.A.0004.fcs"
"crypto","6","57378","52104","48268","Ribalet.20140826.A.0004.fcs"
"beads","582","50392","30508","49461","Ribalet.20140826.A.0005.fcs"
"crypto","8","56514","58829","46816","Ribalet.20140826.A.0005.fcs"
"beads","519","50335","30520","49477","Ribalet.20140826.A.0006.fcs"
"crypto","8","58710","47306","44088","Ribalet.20140826.A.0006.fcs"
"beads","301","50386","30541","49492","Ribalet.20140826.A.0007.fcs"
"crypto","6","55393","51384","52364","Ribalet.20140826.A.0007.fcs"
